args.seed :  0
args.device :  cuda:0
args.train:  True
args.infer:  False
args.file_path:  /home/emforce77/TabFormer-main/modular_regression/multiple_scenario_data_fin2.xml
Data dimension: 300, Max sequence length: 30, num_intent : 7
Data Split Over
expanded_train_data_num 9663
expanded_val_data_num 2040
expanded_test_data_num 2050
col_dim 5 region_len 60 sequence_len 30 num_classes 445
Filtered data count: 111
train_loader
create_model
The model has 1,102,355 trainable parameters
trainer
Epoch [80/300], Loss: 312.7008, Val Loss: 313.2232, MAE: 7.8861, RMSE: 17.6866, Non-zero MAE: 23.8290, Non-zero RMSE: 37.0788, Sequence Accuracy: 0.4697, Non-zero Accuracy: 0.0143, Intent Accuracy: 0.6132
Epoch [81/300], Loss: 311.2460, Val Loss: 312.7716, MAE: 7.8254, RMSE: 17.6717, Non-zero MAE: 23.9212, Non-zero RMSE: 37.1736, Sequence Accuracy: 0.4700, Non-zero Accuracy: 0.0138, Intent Accuracy: 0.5936
Epoch [82/300], Loss: 310.0051, Val Loss: 311.2900, MAE: 7.8474, RMSE: 17.6318, Non-zero MAE: 23.7991, Non-zero RMSE: 36.9780, Sequence Accuracy: 0.4710, Non-zero Accuracy: 0.0138, Intent Accuracy: 0.5936
Epoch [83/300], Loss: 309.8116, Val Loss: 310.7286, MAE: 7.8965, RMSE: 17.6162, Non-zero MAE: 23.6426, Non-zero RMSE: 36.7920, Sequence Accuracy: 0.4693, Non-zero Accuracy: 0.0144, Intent Accuracy: 0.6059
Epoch [84/300], Loss: 307.5258, Val Loss: 310.3126, MAE: 7.7734, RMSE: 17.6043, Non-zero MAE: 23.8838, Non-zero RMSE: 37.0429, Sequence Accuracy: 0.4701, Non-zero Accuracy: 0.0138, Intent Accuracy: 0.5995
Epoch [85/300], Loss: 306.4186, Val Loss: 308.2523, MAE: 7.8410, RMSE: 17.5465, Non-zero MAE: 23.6267, Non-zero RMSE: 36.7218, Sequence Accuracy: 0.4645, Non-zero Accuracy: 0.0143, Intent Accuracy: 0.6304
Epoch [86/300], Loss: 302.8095, Val Loss: 305.2714, MAE: 7.9143, RMSE: 17.4577, Non-zero MAE: 23.3157, Non-zero RMSE: 36.3115, Sequence Accuracy: 0.4594, Non-zero Accuracy: 0.0143, Intent Accuracy: 0.5902
Epoch [87/300], Loss: 301.1043, Val Loss: 302.3227, MAE: 7.8177, RMSE: 17.3748, Non-zero MAE: 23.3585, Non-zero RMSE: 36.3024, Sequence Accuracy: 0.4600, Non-zero Accuracy: 0.0140, Intent Accuracy: 0.6265
Epoch [88/300], Loss: 298.4997, Val Loss: 301.2558, MAE: 7.7450, RMSE: 17.3453, Non-zero MAE: 23.4588, Non-zero RMSE: 36.3655, Sequence Accuracy: 0.4607, Non-zero Accuracy: 0.0136, Intent Accuracy: 0.6142
Epoch [89/300], Loss: 296.6847, Val Loss: 299.7578, MAE: 7.7419, RMSE: 17.3014, Non-zero MAE: 23.3776, Non-zero RMSE: 36.2304, Sequence Accuracy: 0.4597, Non-zero Accuracy: 0.0136, Intent Accuracy: 0.6230
Epoch [90/300], Loss: 294.8182, Val Loss: 298.6931, MAE: 7.7589, RMSE: 17.2682, Non-zero MAE: 23.2711, Non-zero RMSE: 36.0725, Sequence Accuracy: 0.4598, Non-zero Accuracy: 0.0137, Intent Accuracy: 0.6328
Epoch [91/300], Loss: 294.0493, Val Loss: 297.8758, MAE: 7.7191, RMSE: 17.2462, Non-zero MAE: 23.2949, Non-zero RMSE: 36.0903, Sequence Accuracy: 0.4605, Non-zero Accuracy: 0.0137, Intent Accuracy: 0.6034
Epoch [92/300], Loss: 294.0848, Val Loss: 296.5341, MAE: 7.7023, RMSE: 17.2066, Non-zero MAE: 23.2565, Non-zero RMSE: 35.9909, Sequence Accuracy: 0.4611, Non-zero Accuracy: 0.0136, Intent Accuracy: 0.6245
Epoch [93/300], Loss: 292.4953, Val Loss: 296.6236, MAE: 7.6432, RMSE: 17.2116, Non-zero MAE: 23.3794, Non-zero RMSE: 36.1015, Sequence Accuracy: 0.4620, Non-zero Accuracy: 0.0127, Intent Accuracy: 0.6358
